environment,GO_pct,factor_28d
H2SO4_2pct,0.0,1.0
H2SO4_2pct,0.02,1.0195530726256985
H2SO4_2pct,0.04,1.0363128491620113
H2SO4_2pct,0.06,1.0614525139664805
H2SO4_2pct,0.08,1.005586592178771
H2SO4_2pct,0.1,0.963687150837989
MgSO4_5pct,0.0,1.0
MgSO4_5pct,0.02,1.06
MgSO4_5pct,0.04,1.1433333333333333
MgSO4_5pct,0.06,1.2666666666666666
MgSO4_5pct,0.08,1.0799999999999998
MgSO4_5pct,0.1,1.0
NaCl_3.5pct,0.0,1.0
NaCl_3.5pct,0.02,1.0857142857142856
NaCl_3.5pct,0.04,1.1831932773109244
NaCl_3.5pct,0.06,1.2739495798319327
NaCl_3.5pct,0.08,1.1697478991596637
NaCl_3.5pct,0.1,1.104201680672269
control,0.0,1.0
control,0.02,1.061206120612061
control,0.04,1.142814281428143
control,0.06,1.2664266426642665
control,0.08,1.0816081608160817
control,0.1,1.0
